Name,Type,Total,Grass,Plastic,Mud,Wood,Stone,StoneMortar,Metal,BurntBrick,Concrete,Other
District - Udalguri,Urban,"12,794","4,933",94,168,308,396,668,135,"4,303","1,755",34
STATE - BIHAR,Total,"22,783,067","6,943,736","118,304","4,065,590","99,857","197,898","264,905","31,865","10,812,874","177,883","70,155"
STATE - BIHAR,Rural,"20,264,455","6,694,894","107,049","3,787,703","86,371","162,569","192,337","25,292","9,020,894","126,899","60,447"
STATE - BIHAR,Urban,"2,518,612","248,842","11,255","277,887","13,486","35,329","72,568","6,573","1,791,980","50,984","9,708"
District - Pashchim Champaran,Total,"916,920","490,209","3,637","56,818","4,441","4,234","4,269",728,"346,270","3,211","3,103"
District - Pashchim Champaran,Rural,"826,726","471,124","3,283","49,352","3,673","3,019","3,050",572,"287,419","2,602","2,632"
District - Pashchim Champaran,Urban,"90,194","19,085",354,"7,466",768,"1,215","1,219",156,"58,851",609,471
District - Purba Champaran,Total,"1,225,719","528,918","4,947","106,640","5,105","7,166","6,754","1,135","555,452","5,402","4,200"
District - Purba Champaran,Rural,"1,130,610","509,596","4,496","99,226","4,241","5,985","5,617","1,025","492,566","4,234","3,624"
District - Purba Champaran,Urban,"95,109","19,322",451,"7,414",864,"1,181","1,137",110,"62,886","1,168",576
District - Sheohar,Total,"164,361","90,566",604,"9,649","1,362",597,791,86,"59,653",648,405
District - Sheohar,Rural,"157,126","88,574",578,"8,918","1,306",532,541,82,"55,698",550,347
District - Sheohar,Urban,"7,235","1,992",26,731,56,65,250,4,"3,955",98,58
District - Sitamarhi,Total,"843,749","332,379","4,946","89,979","7,146","4,535","4,493",442,"393,612","3,340","2,877"
District - Sitamarhi,Rural,"796,760","324,617","4,650","85,640","6,826","3,949","3,660",399,"361,574","2,729","2,716"
District - Sitamarhi,Urban,"46,989","7,762",296,"4,339",320,586,833,43,"32,038",611,161
District - Madhubani,Total,"1,068,295","453,001","6,131","110,028","4,520","7,329","5,626","1,365","468,902","5,615","5,778"
District - Madhubani,Rural,"1,029,304","445,273","5,799","107,153","4,361","6,917","5,245","1,302","442,662","5,219","5,373"
District - Madhubani,Urban,"38,991","7,728",332,"2,875",159,412,381,63,"26,240",396,405
District - Supaul,Total,"591,825","435,685","3,031","19,932","1,879","1,457","1,225",948,"125,254","1,713",701
District - Supaul,Rural,"565,683","423,902","2,944","18,935","1,688","1,377","1,128",863,"112,848","1,312",686
District - Supaul,Urban,"26,142","11,783",87,997,191,80,97,85,"12,406",401,15
District - Araria,Total,"695,693","554,175","3,435","21,570","3,142","1,687","2,650","1,508","104,755","1,938",833
District - Araria,Rural,"653,875","539,048","3,189","18,377","2,402","1,440","1,823",923,"84,234","1,755",684
District - Araria,Urban,"41,818","15,127",246,"3,193",740,247,827,585,"20,521",183,149
District - Kishanganj,Total,"438,067","281,710","3,638","19,823","1,500","1,519","1,796","1,080","125,181","1,473",347
District - Kishanganj,Rural,"397,181","265,496","3,266","17,381","1,135","1,303","1,312",829,"105,205",935,319
District - Kishanganj,Urban,"40,886","16,214",372,"2,442",365,216,484,251,"19,976",538,28
District - Purnia,Total,"785,947","571,495","4,062","29,256","2,042","2,437","2,974","1,711","167,777","2,503","1,690"
District - Purnia,Rural,"705,079","538,880","3,398","26,901","1,482","1,776","1,916",988,"126,183","2,005","1,550"
District - Purnia,Urban,"80,868","32,615",664,"2,355",560,661,"1,058",723,"41,594",498,140
District - Katihar,Total,"725,787","450,020","3,104","62,830","2,673","2,256","3,652","1,101","196,467","2,739",945
District - Katihar,Rural,"659,980","431,765","2,697","58,731","2,066","1,754","2,775","1,008","156,637","1,655",892
District - Katihar,Urban,"65,807","18,255",407,"4,099",607,502,877,93,"39,830","1,084",53
District - Madhepura,Total,"503,483","323,547","2,880","29,523","1,427","1,814","1,656",439,"140,256","1,390",551
District - Madhepura,Rural,"481,155","314,945","2,767","28,198","1,322","1,672","1,291",403,"128,846","1,273",438
District - Madhepura,Urban,"22,328","8,602",113,"1,325",105,142,365,36,"11,410",117,113
